horizon,sym,n,std,mean_abs,p50_abs,p_active,p_up,p_down,snr_vs_fee,cond_mean_active
5,0,63872,0.0006489579844874652,0.00029744701635963495,0.0,0.28563376753507014,0.1375563627254509,0.14807740480961923,85.94825829184352,0.0009627200179758386
5,1,63872,0.0006541508755074813,0.00037726755697266713,0.0002652519893898697,0.39591683366733466,0.19141407815631262,0.20450275551102204,87.32925876065397,0.0008560404150462471
5,2,63872,0.0005238229411396022,0.0003108404825302562,0.0001744226609921018,0.18740606212424848,0.09591057114228457,0.09149549098196393,55.998055849825136,0.0009802218609488412
5,3,63872,0.0006012707420900048,0.00015578600799206335,0.0,0.070375125250501,0.034819639278557114,0.03555548597194389,73.78091944764593,0.0022136515912055776
5,4,63872,0.0006298777395195181,0.00038721389940091856,0.00021551724137935935,0.2612725450901804,0.12659694388777556,0.13467560120240482,80.968564641269,0.0010326920472324736
5,-1,319360,0.0006134964682447574,0.000305710992651108,6.0088931618795804e-05,0.24012086673346694,0.11725951903807615,0.12286134769539078,76.81181970383483,0.0010188250438271228
10,0,63712,0.0009533987874365134,0.0004692093592782738,0.0,0.4000816172777499,0.19095303867403315,0.20912857860371672,185.50392813988046,0.0011156852128789416
10,1,63712,0.000929376617757586,0.0005775672765751491,0.0005192107995845019,0.5354564289301859,0.2578949020592667,0.2775615268709191,176.27365257847555,0.0010091665282077101
10,2,63712,0.0008033058902336979,0.0005031250084825801,0.00028552393642344853,0.32819563033651433,0.16246546961325967,0.16573016072325464,131.69394964982735,0.001148673673832282
10,3,63712,0.0007881726770495755,0.00025835660885973103,0.0,0.11332245102963336,0.05601770467101959,0.05730474635861376,126.77880996887646,0.002279836047599887
10,4,63712,0.0009337846233577348,0.0006079759656125597,0.0003722084367245859,0.40392704671019586,0.1899014314414867,0.2140256152687092,177.94973935088709,0.001221410064946727
10,-1,318560,0.0008845122599674751,0.0004832468437616587,0.0002056484782013701,0.3561966348568559,0.17144650929181315,0.1847501255650427,159.6657016393409,0.001187791513095959
20,0,63392,0.0013986823364107357,0.0007310379243256663,0.0006648936170213782,0.22128975265017667,0.10815244825845532,0.11313730439172136,399.2474037117133,0.002227794813354283
20,1,63392,0.001300170718998087,0.0008541140331059111,0.0005646527385656519,0.3417781423523473,0.167781423523473,0.1739967188288743,344.9885507224496,0.001826748473757226
20,2,63392,0.0012094058559219169,0.000805421180884962,0.0005087266181419414,0.2785524987380111,0.14292024230186776,0.13563225643614335,298.5025559873928,0.0019316993868411757
20,3,63392,0.0010465588764577692,0.0004256413643564926,0.0,0.17805085815244825,0.0879764008076729,0.09007445734477537,223.5276493658262,0.0023905605891101954
20,4,63392,0.0013851724883456814,0.0009459212679656119,0.0006169454346039993,0.3339064866229177,0.15625,0.17765648662291772,391.57200458566683,0.00203706143840577
20,-1,316960,0.001274807054818194,0.0007524271541277289,0.00045335025840964605,0.27071554770318024,0.1326161029782938,0.13809944472488642,331.65980143147715,0.0020399566776568207
40,0,62752,0.0019508186943704205,0.0011018937315685328,0.0007153075822602384,0.34386155022947473,0.16321392146863845,0.18064762876083632,776.672158837778,0.0024992997475584066
40,1,62752,0.0017653425782154896,0.0012027180129266415,0.0008337965536411307,0.481594212136665,0.2386218765935747,0.24297233554309025,636.0070241756149,0.002092777557030458
40,2,62752,0.0017666474944353853,0.0012176835044381213,0.0008379108090494913,0.4326395971443141,0.21079806221315656,0.22184153493115757,636.9476264479235,0.002256170484736746
40,3,62752,0.0014028281869051299,0.0006749072046559598,0.0,0.26249362570117285,0.1282508924018358,0.13424273329933709,401.6177391786805,0.0025711375003989066
40,4,62752,0.001968945376594512,0.0014025858972841448,0.0009857612267251126,0.49113972463029065,0.22705252422233554,0.26408720040795514,791.1726318393685,0.002391112350028661
40,-1,313760,0.001782991855313061,0.0011199576701746803,0.0006906077348065587,0.40234574196838346,0.1935874553799082,0.20875828658847526,648.7877461454515,0.0023326548837801393
60,0,62112,0.0023107324907850257,0.0013633943453955283,0.0007320644216691763,0.4282908294693457,0.19922076249356002,0.2290700669757857,1089.690743667259,0.0026517202446311823
60,1,62112,0.00214089860545218,0.0014667917531096075,0.0010632642211592103,0.5527273312725399,0.27429482225656876,0.27843250901597116,935.3973140463451,0.0023412435197753237
60,2,62112,0.002163344111483853,0.0015094330996416748,0.0010654490106543069,0.5194970376094796,0.2457335136527563,0.2737635239567233,955.113825447319,0.0024934449650735363
60,3,62112,0.001689966490665805,0.000886155927428082,0.0,0.3271992529623905,0.15763459556929418,0.16956465739309634,582.8544366476117,0.002708306695094869
60,4,62112,0.002398945876449778,0.0017209055468409434,0.0012322858903266454,0.5674587841318908,0.25922527047913446,0.3082335136527563,1174.4778200276319,0.0026746705052280778
60,-1,310560,0.0021554757333410723,0.0013893361344831671,0.000870538490237438,0.4790346470891293,0.22722179289026276,0.25181285419886656,948.1787014331089,0.0025589110332447955
